#phi_A [°]	del_phi_A [°]	U_-90 [V]	del_U_-90 [V]	U_unter [V]	del_U_unter [V] phi_0 [°] del_phi_0 [°]
0.0	0.5	9.71	0.03	5.45e-6	0.10e-6	5 2
10.0	0.5	9.52	0.03	5.45e-6	0.10e-6	5 2
20.0	0.5	8.93	0.03	5.45e-6	0.10e-6	5 2
30.0	0.5	7.97	0.03	5.45e-6	0.10e-6	5 2
40.0	0.5	6.64	0.03	5.45e-6	0.10e-6	5 2
50.0	0.5	5.21	0.03	5.45e-6	0.10e-6	5 2
60.0	0.5	3.80	0.03	5.45e-6	0.10e-6	5 2
70.0	0.5	2.49	0.03	5.45e-6	0.10e-6	5 2
80.0	0.5	1.69	0.03	5.45e-6	0.10e-6	5 2
90.0	0.5	1.31	0.03	5.45e-6	0.10e-6	5 2
100.0	0.5	1.44	0.03	5.45e-6	0.10e-6	5 2
110.0	0.5	2.08	0.03	5.45e-6	0.10e-6	5 2
120.0	0.5	3.11	0.03	5.45e-6	0.10e-6	5 2
130.0	0.5	4.49	0.03	5.45e-6	0.10e-6	5 2
140.0	0.5	5.91	0.03	5.45e-6	0.10e-6	5 2
150.0	0.5	7.24	0.03	5.45e-6	0.10e-6	5 2
160.0	0.5	8.45	0.03	5.45e-6	0.10e-6	5 2
170.0	0.5	9.26	0.03	5.45e-6	0.10e-6	5 2
180.0	0.5	9.60	0.03	5.45e-6	0.10e-6	5 2
190.0	0.5	9.57	0.03	5.45e-6	0.10e-6	5 2
190.0	0.5	9.49	0.03	5.45e-6	0.10e-6	5 2
200.0	0.5	8.89	0.03	5.45e-6	0.10e-6	5 2
210.0	0.5	7.85	0.03	5.45e-6	0.10e-6	5 2
220.0	0.5	6.56	0.03	5.45e-6	0.10e-6	5 2
230.0	0.5	5.18	0.03	5.45e-6	0.10e-6	5 2
240.0	0.5	3.68	0.03	5.45e-6	0.10e-6	5 2
250.0	0.5	2.51	0.03	5.45e-6	0.10e-6	5 2
260.0	0.5	1.65	0.03	5.45e-6	0.10e-6	5 2
270.0	0.5	1.30	0.03	5.45e-6	0.10e-6	5 2
280.0	0.5	1.42	0.03	5.45e-6	0.10e-6	5 2
290.0	0.5	2.04	0.03	5.45e-6	0.10e-6	5 2
300.0	0.5	3.05	0.03	5.45e-6	0.10e-6	5 2
310.0	0.5	4.37	0.03	5.45e-6	0.10e-6	5 2
320.0	0.5	5.80	0.03	5.45e-6	0.10e-6	5 2
330.0	0.5	7.20	0.03	5.45e-6	0.10e-6	5 2
340.0	0.5	8.45	0.03	5.45e-6	0.10e-6	5 2
350.0	0.5	9.20	0.03	5.45e-6	0.10e-6	5 2
360.0	0.5	9.56	0.03	5.45e-6	0.10e-6	5 2
