#1/r err_1/r e^(2/3) err_e^(2/3)
1.627869 0.113736 3.048651 0.362223
2.302026 0.207468 3.128662 0.357561
0.626566 0.046443 3.003811 0.364917
1.151145 0.063752 3.047564 0.362288
1.388310 0.146772 2.983951 0.366129
1.879699 0.126279 2.977846 0.366504
0.878040 0.033621 3.016084 0.364173
0.876424 0.047762 3.025424 0.363611
2.302026 0.206992 3.128662 0.357561
0.939850 0.059262 3.004541 0.364872
0.680365 0.029713 3.012684 0.364379
0.626017 0.028930 3.009404 0.364577
0.694155 0.023784 3.015235 0.364225
0.939850 0.080726 3.004541 0.364872
1.085305 0.049083 2.982242 0.366234
1.493875 0.040259 2.993098 0.365569
2.059308 0.120098 3.028575 0.363422
